Employee_ID,First_Name,Last_Name,Gender,Department,Location,Hire_Date,Exit_Date,Status,Salary,Engagement_Score,Performance_Rating,Tenure_Years,Risk_Score
100193,Katherine,Steele,Female,Sales,Germany,2021-08-13,,Active,1100923,3.14,4,4.5,0.37
100194,Victor,Stevenson,Female,HR,Germany,2021-11-05,2024-03-13,Resigned,899190,3.98,2,4.27,0.2
100195,Joseph,Lee,Male,HR,Singapore,2021-11-08,,Active,1210848,3.74,4,4.27,0.25
100196,Duane,Shea,Male,Marketing,Singapore,2021-05-23,,Active,1319924,4.14,5,4.73,0.17
100197,Emily,Herrera,Female,Sales,UK,2021-07-26,,Active,1031484,4.11,3,4.55,0.18
100198,Valerie,Prince,Male,HR,India,2021-12-29,,Active,928519,3.66,4,4.13,0.27
100199,Michelle,Riggs,Female,Finance,UK,2021-01-13,2021-06-11,Resigned,1203084,2.65,2,5.08,0.47
100200,Michael,Garcia,Male,Marketing,USA,2021-07-27,,Active,761773,3.69,1,4.55,0.26
100201,Wanda,Evans,Male,Finance,Germany,2021-09-30,,Active,1140514,3.84,5,4.37,0.23
100202,Rachel,Turner,Female,IT,UK,2021-01-16,,Active,1933921,3.36,4,5.08,0.33
100203,Brittany,Thompson,Female,Marketing,USA,2021-07-17,,Active,841123,2.46,2,4.58,0.51
100204,John,Lee,Female,Finance,Germany,2021-10-04,,Active,1094292,2.28,2,4.36,0.54
100205,Christopher,Jimenez,Female,Finance,USA,2021-02-12,,Active,1415168,4.31,3,5.0,0.14
100206,Caleb,Fernandez,Female,Finance,Germany,2021-04-02,2021-08-23,Terminated,1103711,4.37,3,4.87,0.13
100207,Brandi,Salazar,Female,Sales,India,2021-07-06,,Active,1066792,2.68,1,4.61,0.46
100208,Frank,Gibson,Female,IT,Singapore,2021-07-19,,Active,1588193,2.43,1,4.57,0.51
100209,Christopher,Whitney,Male,Finance,UK,2021-03-04,,Active,551105,3.81,2,4.95,0.24
100210,Jerry,Rojas,Female,Marketing,Singapore,2021-12-10,,Active,599801,3.86,2,4.18,0.23
100211,Nancy,Benson,Female,Finance,USA,2021-07-10,,Active,622406,2.6,3,4.6,0.48
100212,Katie,Goodman,Female,Marketing,Singapore,2021-04-07,,Active,447657,2.75,2,4.85,0.45
100213,Pamela,Wilson,Female,Sales,Germany,2021-11-10,,Active,739088,2.03,1,4.26,0.59
100214,Joseph,Higgins,Female,Marketing,Germany,2021-04-07,,Active,1371862,4.05,4,4.85,0.19
100215,Xavier,Harding,Male,Sales,USA,2021-09-06,,Active,1526557,3.22,5,4.44,0.36
100216,Pam,Hernandez,Male,Finance,India,2021-05-31,,Active,515685,2.91,2,4.71,0.42
100217,Michael,Conway,Female,Operations,USA,2021-02-14,,Active,395394,2.38,1,5.0,0.52
100218,Dean,Maynard,Male,Marketing,USA,2021-05-26,,Active,847275,3.4,3,4.72,0.32
100219,Keith,Dominguez,Male,Marketing,UK,2021-10-22,,Active,1135429,2.27,1,4.31,0.55
100220,Tamara,Carlson,Female,IT,UK,2021-03-31,2022-05-11,Resigned,615117,3.39,3,4.87,0.32
100221,Victoria,Lester,Female,Marketing,Singapore,2021-04-30,,Active,1437363,3.81,4,4.79,0.24
100222,Michael,Rodriguez,Male,Sales,Germany,2021-01-13,,Active,1063367,3.87,1,5.08,0.23
100223,Jennifer,Baker,Male,IT,India,2021-02-04,,Active,1729796,3.88,5,5.02,0.22
100224,Mike,Anderson,Female,IT,UK,2021-01-02,,Active,652365,3.45,2,5.12,0.31
100225,Derrick,Davis,Female,Marketing,UK,2021-04-13,,Active,878152,3.74,4,4.84,0.25
100226,Andrew,Ortiz,Female,IT,Germany,2021-04-18,,Active,971294,3.66,2,4.82,0.27
100227,Amanda,Braun,Male,Sales,Singapore,2021-01-31,,Active,702751,3.6,5,5.04,0.28
100228,Jennifer,Wong,Female,Operations,India,2021-07-21,,Active,409497,3.89,3,4.57,0.22
100229,Kevin,Edwards,Female,Finance,UK,2021-08-09,,Active,1427043,4.03,4,4.52,0.19
100230,Joseph,Weiss,Male,IT,India,2021-03-21,,Active,1308914,3.65,1,4.9,0.27
100231,John,Johnston,Female,HR,USA,2021-09-14,,Active,530370,2.49,2,4.42,0.5
100232,Sierra,Benitez,Female,Operations,Germany,2021-04-05,,Active,919844,3.09,3,4.86,0.38
100233,James,Allen,Male,Operations,Singapore,2021-08-28,,Active,710874,3.57,3,4.46,0.29
100234,Anna,Avila,Female,Operations,UK,2021-09-06,,Active,390800,2.51,1,4.44,0.5
100235,Brett,Oconnor,Male,Marketing,Singapore,2021-10-03,,Active,1015084,2.81,2,4.36,0.44
100236,Mary,Ramsey,Female,Marketing,India,2021-01-06,,Active,1064166,4.66,4,5.1,0.07
100237,Faith,Fry,Male,Operations,India,2021-09-04,2022-03-31,Terminated,521756,2.6,3,4.44,0.48
100238,John,Kelley,Female,IT,Singapore,2021-08-20,,Active,1845578,4.26,4,4.48,0.15
100239,Wendy,Mcclure,Female,HR,Germany,2021-07-15,,Active,925081,3.38,1,4.58,0.32
100240,John,Rivera,Male,Marketing,Singapore,2021-03-02,,Active,1555379,4.88,5,4.95,0.02
100241,Bobby,Powell,Female,IT,India,2021-01-17,,Active,1988500,4.33,4,5.07,0.13
100242,Julie,Obrien,Male,IT,USA,2021-01-13,,Active,765154,2.91,2,5.08,0.42
100243,Morgan,Lopez,Male,IT,India,2021-04-26,,Active,1043110,3.62,3,4.8,0.28
100244,Jasmine,Cameron,Female,HR,Germany,2021-06-11,,Active,638108,3.64,5,4.68,0.27
100245,Melissa,Blake,Male,IT,Singapore,2021-04-03,,Active,864209,3.25,3,4.87,0.35
100246,Peter,Fleming,Female,Sales,UK,2021-12-23,,Active,476952,3.4,1,4.14,0.32
100247,Lisa,Moore,Male,Marketing,UK,2021-10-26,,Active,1076773,2.61,2,4.3,0.48
100248,Julie,Burns,Female,Operations,Singapore,2021-03-12,,Active,615206,2.13,1,4.93,0.57
100249,Sharon,Wiggins,Female,Sales,UK,2021-01-26,,Active,1137803,3.6,1,5.05,0.28
100250,Cynthia,Taylor,Female,HR,UK,2021-08-18,,Active,1024777,2.66,1,4.49,0.47
100251,Mary,Sullivan,Male,Finance,India,2021-08-20,,Active,1443620,3.03,4,4.48,0.39
100252,Kristy,Anderson,Male,Finance,Germany,2021-09-09,,Active,1249325,3.78,4,4.43,0.24
100253,Jackson,Adams,Male,Marketing,India,2021-06-26,,Active,533341,3.91,3,4.64,0.22
100254,Edward,Smith,Female,Marketing,Singapore,2021-03-30,,Active,931008,3.9,5,4.88,0.22
100255,Christopher,Johnson,Male,Finance,Germany,2021-11-22,,Active,1093561,3.19,1,4.23,0.36
100256,Christopher,White,Male,Operations,USA,2021-10-19,,Active,918576,3.42,1,4.32,0.32
100257,Aaron,Jennings,Male,IT,India,2021-09-05,,Active,747527,2.35,2,4.44,0.53
100258,Thomas,Daugherty,Male,HR,UK,2021-12-08,,Active,922388,3.7,5,4.18,0.26
100259,Michael,Kennedy,Male,HR,USA,2021-03-20,,Active,569333,3.87,1,4.9,0.23
100260,John,Alvarez,Female,IT,USA,2021-09-11,,Active,1614729,2.81,3,4.42,0.44
100261,Kimberly,Kirby,Male,Sales,Germany,2021-05-01,,Active,645713,4.0,1,4.79,0.2
100262,Amanda,Keith,Female,Finance,India,2021-08-17,,Active,1095901,3.26,1,4.49,0.35
100263,Manuel,Lyons,Female,IT,India,2021-04-01,,Active,794718,3.91,4,4.87,0.22
100264,Marvin,Acosta,Female,Finance,India,2021-12-14,2023-02-13,Resigned,1642998,3.17,4,4.17,0.37
100265,Sheila,Barnes,Female,Operations,UK,2021-09-19,2022-05-08,Resigned,975802,3.59,1,4.4,0.28
100266,James,Leonard,Female,Sales,India,2021-02-13,,Active,1589927,4.8,5,5.0,0.04
100267,Jason,Reyes,Female,Marketing,UK,2021-04-07,,Active,591045,4.68,5,4.85,0.06
